name,address,price_range,start_price,end_price,category,sub_category,bookmark,positive,negative
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,483,34
The Butterfly Room,"2/F, Rosewood Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",$201-400,201,400,Western,Ice Cream/yogurt,13900,187,16
PAN de PAIN Pancake & Sweets (K11購物藝術館),"Shop B111B & B111C, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$51-100,51,100,Japanese,Dessert,36400,517,98
Kura Tobi 蔵鳶居酒屋,"Shop 7-8, G/F, 44-46 Carnarvon Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,8100,230,5
Hancham Korean Meathouse (Prat Avenue) 韓珍 (寶勒巷),"1/F., Winfield Commercial Building, 6-8A Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Korean,Korean BBQ,32000,427,28
Ramen Bari-Uma (Kimberley Road) 霸嗎拉麵 (金巴利道),"G/F, 26 Kimberley Road, Tsim Sha Tsui",$51-100,51,100,Japanese,Ramen,33700,636,45
Page Common,"G/F, Page 148, 148 Austin Road, Tsim Sha Tsui",$51-100,51,100,Western,Coffee Shop,26900,178,1
Palco Ristorante,"Shop OTE 403-404, 4/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Italian,,30800,163,19
MOKUTAN 黑木,"Shop 2, G/F, 8 Kimberley Street, Tsim Sha Tsui",$401-800,401,800,Japanese,Skewer,12600,398,5
Hungry Bird 肚餓了串燒烤焗專門店,"6/F, 17-19 Ashley Road, Tsim Sha Tsui",$101-200,101,200,Hong Kong Style,Seafood,36100,756,70
Kinabaji Korean Cafe and Restaurant 奇納百川,"Shop LCX34, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Korean,Korean Fried Chicken,14500,280,63
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
How To Live Well (K11購物藝術館),"Shop 201-01, 2/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Western,Pizza,26700,140,5
Log Ye Dim Sum 樂意點心,"Shop C, G/F, Hanyee Building , 19-21 Hankow Road, Tsim Sha Tsui",$51-100,51,100,Guangdong,Soup,7100,180,3
La Famille,"Shop B102B, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Dessert,5300,251,2
Iberians,"Shop 82-83 & 85, G/F, New Mandarin Plaza, 14 Science Museum Road, Tsim Sha Tsui",$201-400,201,400,Spanish,Wine,9700,236,5
Gontran Cherrier (Restaurant),"Shop B207, B2/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$51-100,51,100,French,Bakery,20600,244,15
Zi 梔子,"G/F, 8 Hillwood Road, Tsim Sha Tsui",$51-100,51,100,Western,Wine,30500,262,17
"TWIST & BUCKLE, Churros Specialists","G/F, Windsor Mansion, 29-31 Chatham Road South, Tsim Sha Tsui",$101-200,101,200,Spanish,Dessert,10900,175,1
Reaction Coffee Roasters,"Shop A, G/F, Lyton Building, 32-48 Mody Road, Tsim Sha Tsui",$101-200,101,200,Western,Coffee Shop,18300,148,6
Gyushige (MW Plaza) 牛繁 (MW Plaza),"G/F, MW Plaza , 40 Kimberley Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Roast Meat,26300,391,17
Ebisoba Ichigen 一幻拉麵,"Shop OT G59, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,12400,255,24
Three on Canton,"3/F, Gateway Hotel, Harbour City, 13 Canton Road, Tsim Sha Tsui",$401-800,401,800,International,Buffet,66600,253,42
Pici,"G/F, 29-31 Chatham Road South, Tsim Sha Tsui",$101-200,101,200,Italian,,24600,194,10
Japanese Restaurant Doraya (Hau Fook Street) 定食 Doraya (厚福街),"6/F H8, 8 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,37600,342,11
CARAT Fine Indian and Mediterranean Cuisine (盈豐商業大廈),"4/F, Winfield Commercial Building, 6-8A Prat Avenue, Tsim Sha Tsui",$101-200,101,200,Indian,Vegetarian,6100,237,0
Youniqueed,"Shop A2, G/F, Granville House, 41C Granville Road, Tsim Sha Tsui",$51-100,51,100,Western,All Day Breakfast,3100,174,2
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
The Alchemist Café (K11 Art Mall) 牧羊少年咖啡館 (K11購物藝術館),"Shop B227, B2/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Western,Dessert,23500,198,12
The Pearl,"4/F, Attitude on Granville, 20-22 Granville Road, Tsim Sha Tsui",$201-400,201,400,Italian,All Day Breakfast,14500,199,4
J.S. FOODIES (海港城),"Shop 2608-2609, 2/F, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$101-200,101,200,International,Dessert,13500,153,2
Library Restaurant and Bar,"3/F, Manson House, 74-78 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Western,Bar,20100,192,7
NINETYs (星光行),"Shop L202 & 203, Eslite Book Store, 2/F, Star Annex, Star House, 3 Salisbury Road, Tsim Sha Tsui",$101-200,101,200,Western,Vegetarian,10800,179,6
The Moonious 滿小館,"Shop 30-41, G/F, Houston Centre, 63 Mody Road, Tsim Sha Tsui",$201-400,201,400,Guangdong,Dim Sum,12300,220,4
XIHEYAYUAN 羲和雅苑,"Shop OTE203, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Beijing,Stir-Fry,34800,513,81
Greyhound Café Galleria (Victoria Dockside K11 Musea),"Shop 327A&327C, 3/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$201-400,201,400,Thai,,35800,161,23
The Yuu Japanese Dining 一遊,"4/F, 1 Knutsford Terrace, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,7800,272,14
Shanghai Po Po 336 (iSQUARE) 上海婆婆336 (iSQUARE國際廣場),"Shop 605-606, 6/F, iSQUARE, 63 Nathon Road, Tsim Sha Tsui",$101-200,101,200,Shanghai,Stir-Fry,17200,400,38
Jan Jan Kushikatsu (Soho Tower) Jan Jan 串揚專門店 (尊豪坊),"1/F, Soho Tower, 25 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Skewer,22400,207,2
Tarou Izakaya 太郎居酒屋,"9/F, Canton Plaza, 82-84 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,4200,179,0
The Lobby 半島酒店大堂茶座,"G/F, The Peninsula Hong Kong, 22 Salisbury Road, Tsim Sha Tsui",$201-400,201,400,Western,Bakery,13300,329,34
Amina Modern European,"8/F, Canton Plaza, 82-84 Canton Road, Tsim Sha Tsui",Above $801,801,801,Italian,Fine Dining,19600,414,8
Playa de Papagayo,"Shop N3, G/F, Podium Plaza, 5 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Spanish,Bar,23200,413,14
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
YAOYAO (Gateway Arcade) 姚姚酸菜魚 (港威商場),"Shop 2307, 2/F, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Sichuan,,9500,225,18
Izakaya - Honotorihane 炎鳥羽,"17/F, The Lamma Tower, 12-12A Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,15500,270,1
Artisan De La Truffe 松藝館,"Shop OTE303, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,French,,32600,221,31
Water Gate Chicken Rice (Mangan Building) 水門雞飯 (萬勤商業大廈),"G/F, Mangan Building, 18 Cameron Road, Tsim Sha Tsui",$51-100,51,100,Thai,,14000,249,17
Mango Tree,"Shop 2032, 2/F, Metal Zone, ELEMENTS, 1 Austin Road West, Tsim Sha Tsui",$201-400,201,400,Thai,Meatless Menu,41200,275,29
Umai SushiKan うまい鮨勘,"Shop OTG04, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,,19400,284,29
A Xing Fruit Tea & Rice Roll 阿杏飯團,"Shop 18C, G/F, East Ocean Centre, 98 Granville Road, Tsim Sha Tsui",$51-100,51,100,Taiwan,Taiwanese Drink,2800,162,2
SPICE Restaurant & Bar,"2/F, 1 Knutsford Terrace, Tsim Sha Tsui",$201-400,201,400,Indian,Pizza,15400,563,11
Let's Jam 一起果醬,"Shop D, G/F, 15-17 Pine Tree Hill Road, Tsim Sha Tsui",$101-200,101,200,Western,Dessert,36500,646,31
Tin Lung Heen 天龍軒,"102/F, The Ritz-Carlton Hong Kong, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui",$401-800,401,800,Guangdong,Dim Sum,22400,199,8
Hotaru 螢火,"Shop 1, LG/F, Hilton Towers, 96 Granville Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Teppanyaki,11200,208,5
"Cafe, Hyatt Regency Tsim Sha Tsui","Lobby Level, Hyatt Regency Hong Kong Tsim Sha Tsui, 18 Hanoi Road, Tsim Sha Tsui",$401-800,401,800,International,Buffet,56800,300,65
Da Filippo Trattoria,"Shop 3203-3204A, 3/F, Gateway Arcade, Harbour City, 21 Canton Road, Tsim Sha Tsui",$201-400,201,400,Italian,Seafood,16100,189,26
Kuang Ye Ma Shen 狂野麻神麻辣火鍋,"2/F, Mary Building , 77 Peking Road, Tsim Sha Tsui",$201-400,201,400,Taiwan,Hot Pot,5400,223,7
TEKKA (Hau Fook Street) 鉄火堂 (厚福街),"G/F, 10 Hau Fook Street, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,14000,242,22
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Royal INN,"Shop L121, 1/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,International,Seafood,14200,,
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
BRICK LANE Gallery,"G/F., 17-23 Minden Avenue, Tsim Sha Tsui",$101-200,101,200,British,Dessert,44000,389,37
Badroom Bar & Restaurant 寢宮,"Shop A-C, 5/F, 10 Knutsford Terrace, Tsim Sha Tsui",$201-400,201,400,Western,Wine,6300,326,2
Social Place (Silvercord Tower) 唐宮小聚 (新港中心),"Shop 303, 3/F, Silvercord, 30 Canton Road, Tsim Sha Tsui",$101-200,101,200,Guangdong,Dim Sum,31600,283,19
The Drunken Pot (Observatory Road) 酒鍋 (天文台道),"Shop 1, 2/F, 8 Observatory Road, Tsim Sha Tsui",$201-400,201,400,Guangdong,Hot Pot,38800,527,31
Sushi Tachi (Cameron Plaza) 立鮨 (金馬倫廣場),"Shop D, G/F, Cameron Plaza, 23 Cameron Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Sushi/Sashimi,16900,297,11
Y Show Tasty,"12/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,31300,376,18
Velo Italian Bar & Grill,"Shop 103, 1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$401-800,401,800,Italian,Pizza,44100,156,23
Poseidon Restaurant & Bar,"4/F, Astoria Building, 24-38 Ashley Road, Tsim Sha Tsui",$201-400,201,400,International,Bar,21700,246,13
8Pots HK (Kimberley Road) 8鍋臭臭鍋 (金巴利道),"G/F, 77 Kimberley Road, Tsim Sha Tsui",$101-200,101,200,Taiwan,Hot Pot,34400,548,17
Amelia Hong Kong,"Shop OTG63, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Italian,Bar,18100,242,55
嵐橋日本料理,"M/F&1/F, Rich Towers, 2 Blenheim Ave, Minden Ave, Tsim Sha Tsui",$201-400,201,400,Japanese,,9100,161,2
B’hood,"Shop 32-35, G/F, South Seas Centre, 75 Mody Road, Tsim Sha Tsui",$101-200,101,200,Western,Coffee Shop,3800,173,1
Beef Bang Taiwanese Hot Pot 牛品台式火鍋,"1/F, 32-34 Lock Road, Tsim Sha Tsui",$101-200,101,200,Taiwan,Hot Pot,13100,288,13
T'ang Court 唐閣,"1/F and 2/F, The Langham Hong Kong, 8 Peking Road, Tsim Sha Tsui",$401-800,401,800,Guangdong,Seafood,22300,207,11
Twelve Flavors (Hart Avenue) 十二味 (赫德道),"Shop 6 G/F & 1/F, Lee Wai Commercial Building, 1-3A Hart Avenue, Tsim Sha Tsui",$101-200,101,200,Sichuan,Stir-Fry,32400,316,13
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Sushi Dokoro Matsudo (The Toy House) 鮨處松戶 (彩星集團大廈),"8/F The Toy House, 100 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,13300,,
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
Born Ga Korea Restaurant 本家韓國料理,"1/F, Eastern Flower Centre, 22-24 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Korean,Roast Meat,31400,94,20
ChumChumMi ChumChum味,"Shop 17-20 & 31-34, G/F ,FHP Shopping Centre ,37-41 Mody Road, Tsim Sha Tsui",$201-400,201,400,Korean,Korean BBQ,14900,204,11
Empire City Roasted Duck 大都烤鴨,"Shop 221, Level 2, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$101-200,101,200,Shanghai,Stir-Fry,35000,203,32
KABOOM,"20/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui",$201-400,201,400,Thai,Curry,44900,158,27
Kailash Parbat,"Unit 302, 3/F, Multifield Plaza, 3 Prat Ave, Tsim Sha Tsui",$101-200,101,200,Indian,Vegetarian,11000,358,2
Pasticceria Giovanni Pina 1920 (K11 Musea),"Shop 217, 2/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$101-200,101,200,Italian,,12700,164,7
Uptop Bistro and Bar,"19/F, Popway Hotel , 117 Chatham Road South, Tsim Sha Tsui",$201-400,201,400,Western,Wine,31900,286,11
Lady M,"Shop OT215K, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$51-100,51,100,Western,Bakery,23500,412,17
光榮冰室 (厚福街),"Shop 6, G/F, 5-6 Hau Fook Street, Tsim Sha Tsui",Below $50,50,50,Hong Kong Style,Tea Restaurant,10200,243,15
LIFETASTIC Patisserie (The ONE),"Shop L406, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Western,Dessert,10200,299,19
香港小熊,"Shop 7A, G/F, Tsim Sha Tsui Mansion, 36-50 Lock Road, Tsim Sha Tsui",Below $50,50,50,Hong Kong Style,Taiwanese Drink,2100,151,1
Kedai Kopi Semua Semua 蘇媽.蘇媽馬來西亞茶餐室,"G/F, Grandmark, 10 Granville Road, Tsim Sha Tsui",$51-100,51,100,Malaysian,,3800,174,3
Moti Palace Indian Restaurant 珍珠皇宮印度餐廳,"Shop 96-97, 1/F, Chungking Mansions, 36-44 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Indian,Seafood,4200,207,1
U-Banquet The Starview (The ONE) 星海．譽宴 (The ONE),"18/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$201-400,201,400,Guangdong,Dim Sum,8800,197,7
Gelato-go,"G/F, The Nate, 176 Nathan road, Tsim Sha Tsui",Below $50,50,50,Italian,Dessert,5500,183,4
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
sensory ZERO (海港城),"Lane Crawford, G/F, Marco Polo Hong Kong Hotel, Harbour City, 3 Canton Road, Tsim Sha Tsui",$101-200,101,200,Japanese,All Day Breakfast,15600,134,9
Dào Chéng Taiwanese Restaurant (K11) 稻埕飯店 (K11),"Shop B105-B106, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$51-100,51,100,Taiwan,,17000,176,7
Kaiyō 海陽。居酒屋,"Shop 103-103A, 1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Izakaya,28900,167,45
Ramen House Konjiki Hototogisu (H Zentre) 金色不如帰 (H Zentre),"G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,5400,157,7
181 FORTNUM & MASON,"FORTNUM & MASON, Shop 002&122, G/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",Above $801,801,801,British,Dessert,18200,124,15
Wooloomooloo Prime,"21/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",$401-800,401,800,Australian,Steak House,41200,191,33
Seikuu 晴空日本料理,"Shop 1, G/F, 8 Kimberley Street, Tsim Sha Tsui",$201-400,201,400,Japanese,Sushi/Sashimi,9600,289,2
ODEA,"G/F, FWD House 1881 Main Building, 2A Canton Road, Tsim Sha Tsui",$201-400,201,400,French,,25100,107,5
Tagline Restaurant and Bar,"4/F, 10 PRAT , 10 Prat Avenue, Tsim Sha Tsui",$101-200,101,200,Indian,Vegetarian,8700,139,0
Season Plus,"Shop A&E, G/F, Block 1, Universal Mansion, 52 Hillwood Road, Tsim Sha Tsui",$101-200,101,200,Western,Seafood,19900,479,24
Golden Phoenix Restaurant (Hillwood Road) 金鳳大餐廳 (山林道),"U/F, 9A Hillwood Rd,, Tsim Sha Tsui",$101-200,101,200,Hong Kong Style,Steak House,5800,257,82
Quan Alley HK 寬巷子,"Shop OT G57, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Taiwan,Hot Pot,22100,256,18
Attic Handmade Pasta,"Shop 101, 1/F, The Cameron, 33 Cameron Road, Tsim Sha Tsui",$201-400,201,400,Italian,Seafood,18900,133,12
The Greenery 雅苑座,"3/F, The Royal Garden, 69 Mody Road, Tsim Sha Tsui",$401-800,401,800,International,Buffet,63000,593,90
Hugo's 希戈餐廳,"Lobby Level, Hyatt Regency Hong Kong Tsim Sha Tsui, 18 Hanoi Road, Tsim Sha Tsui",Above $801,801,801,French,Fine Dining,27100,191,10
Saburo Japanese Yakiniku 三郎。燒肉,"Shop 3, G/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",$401-800,401,800,Japanese,BBQ,6700,,
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Hakkaisan Japanese Restaurant 八海山,"Shop 1-4, G/F, Prat Mansions, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Japanese,Group Dining,7600,,
Kok Kok Chickhen (Ashley Road) 咯咯雞韓食店 (亞士厘道),"G/F, 20A Ashley Road, Tsim Sha Tsui",$51-100,51,100,Korean,Korean Fried Chicken,6000,148,13
Dang Wen Li by Dominique Ansel 當文歷餅店 by Dominique Ansel,"Shop OT G63A, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$51-100,51,100,International,Cake,13300,167,22
CHAAT,"5/F, Rosewood Hong Kong, 18 Salisbury Road, Tsim Sha Tsui",$401-800,401,800,Indian,Hotel Restaurant,17800,100,4
ANA TEN 天穴,"Shop OTE 304, 3/F,Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Sushi/Sashimi,22800,136,12
Sing La 星怡,"Shop 303, 3/F, Isquare, 63 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Singaporean,,4700,155,3
Korean Inn Restaurant 高麗軒韓國料理,"LG/F, 46-48 Kimberley Road,, Tsim Sha Tsui",$201-400,201,400,Korean,Roast Meat,24300,444,19
Scarlett Cafe & Wine Bar,"G/F., 2 Austin Avenue, Tsim Sha Tsui",$201-400,201,400,French,,36800,215,19
Base Bar & Restaurant 基地,"Shop A, G/F, Quality Tower, 29-31 Hillwood Road, Tsim Sha Tsui",$101-200,101,200,Western,Bar,18200,114,5
川味辣蟹·串燒·烤魚·雞煲·專門店,"G/F, Kimbry Court, 58-60A Kimberley Road, Tsim Sha Tsui",$101-200,101,200,Sichuan,Hot Pot,6300,184,4
ÉPURE,"Shop 403, 4/F, Ocean Centre, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",Above $801,801,801,French,Wine,25200,193,13
Chuan Po Po (Prat Avenue) 川婆婆 (寶勒巷),"G/F, 26-36 Prat Avenue, Tsim Sha Tsui",$201-400,201,400,Sichuan,Hot Pot,22200,360,25
Chatpoint (Carnarvon Road) 臺坊 (加拿分道),"Shop C, G/F, 49 Carnarvon Road, Tsim Sha Tsui",$51-100,51,100,Taiwan,,6200,142,2
Sushi Rin 鮨燐,"Shop 1, UG/F, H Zentre, 15 Middle Road, Tsim Sha Tsui",Above $801,801,801,Japanese,Sushi/Sashimi,7800,155,4
Above & Beyond 天外天,"28/F, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui",$401-800,401,800,Guangdong,Dim Sum,26500,188,14
CHECK IN TAIPEI (Harbour City) 臺北棧 (海港城),"Shop 2204-6, 2/F, Harbour City, Gateway Arcade, 5 Canton Road, Tsim Sha Tsui",$101-200,101,200,Taiwan,Taiwanese Drink,9400,232,6
Ryou Dou Raku 漁道樂,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",$401-800,401,800,Japanese,Seafood,20400,,
ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Western,Seafood,70800,,
BASE 2 Bar & Restaurant 基地貳,"G&1/F, Hai Xin Building, 17 Hart Avenue, Tsim Sha Tsui",$201-400,201,400,International,Coffee Shop,11300,,
Park café,"4/F, Park Hotel Hong Kong, 61-65 Chatham Road South, Tsim Sha Tsui",$201-400,201,400,Western,Buffet,28800,233,57
Heisei 平成,"Shop 17, G/F, The Pinnacle, 8 Minden Avenue, Tsim Sha Tsui",$101-200,101,200,Japanese,Izakaya,5500,242,7
La Famille,"Kiosk 5, 2/F, Ocean Centre, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",$201-400,201,400,Japanese,Dessert,2800,154,0
AFURI Ramen + Dumpling (The ONE) 阿夫利拉麵 (The ONE),"i.t orange forest, 2/F, THE ONE, 100 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Japanese,Ramen,11200,195,10
Coucou Hotpot‧Tea Break (K11 Art Mall) 湊湊火鍋‧茶憩 (K11購物藝術館),"Shop B124, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",$201-400,201,400,Taiwan,Hot Pot,18700,111,6
Lemna of the alchemist 牧羊少年與他的浮萍,"G/F, Hong Kong Cultural Centre, 10 Salisbury Road, Tsim Sha Tsui",$51-100,51,100,Western,All Day Breakfast,9300,134,0
Avenue75,"Shop 36-41, G/F, South Seas Centre, 75 Mody Road, Tsim Sha Tsui",$101-200,101,200,International,Hotel Restaurant,2600,137,1
Owl's Choux,"G/F, 32 Mody Road, Tsim Sha Tsui",Below $50,50,50,Japanese,Dessert,25000,261,6
Guts Soul 燒魂,"2/F, Cameron Centre, 57-59 Chatham Road, Tsim Sha Tsui",$201-400,201,400,Japanese,All-you-can-eat,30000,552,125
PUTIEN (Mira Place Two) 莆田 (美麗華廣場2期),"Shop 269-270, 2/F, Mira Place Two, 118 -130 Nathan Road, Tsim Sha Tsui",$101-200,101,200,Fujian,Seafood,11800,698,4